drug,bcs_class,title,pmcid,pmc_url,ph_1_2,ph_6_8,notes
piroxicam,II,Enhanced Dissolution and Oral Bioavailability of Piroxicam Formulations: Modulating Effect of Phospholipids,PMC3967142,https://pmc.ncbi.nlm.nih.gov/articles/PMC3967142/,Y,Y,"SGF pH1.2; phosphate buffers 4.5/6.8"
nifedipine,II,Development and evaluation of controlled porosity osmotic pump for Nifedipine and Metoprolol combination,PMC3087695,https://pmc.ncbi.nlm.nih.gov/articles/PMC3087695/,Y,Y,"SGF pH1.2; SIF pH6.8; pH change method"
nifedipine,II,Effect of Gastric Fluid Volume on the in Vitro Dissolution and in Vivo Absorption of BCS Class II Drugs: Nifedipine,PMC5108062,https://pmc.ncbi.nlm.nih.gov/articles/PMC5108062/,Y,Y,"pH 1.2 to 6.8 range"
nifedipine,II,Immediate-Release Nifedipine Binary Dry Powder Mixtures with Nanocellulose,PMC6359467,https://pmc.ncbi.nlm.nih.gov/articles/PMC6359467/,?,Y,"enhanced solubility/dissolution rate"
glibenclamide,II,Liquigroud technique: enhancing dissolution rate of glibenclamide by liquisolid and co-grinding,PMC5439390,https://pmc.ncbi.nlm.nih.gov/articles/PMC5439390/,Y,?,"weak acid pKa 5.3; poor release at pH1.2"
glibenclamide,II,Dissolution enhancement of glibenclamide by solid dispersion: solvent evaporation vs supercritical fluid,PMC4318002,https://pmc.ncbi.nlm.nih.gov/articles/PMC4318002/,Y,Y,"pH-dependent solubility"
glibenclamide,II,Correlation of Solubility Thermodynamics of Glibenclamide with Recrystallization and In Vitro Release Profile,PMC8874636,https://pmc.ncbi.nlm.nih.gov/articles/PMC8874636/,?,Y,"in vitro release vs pH"
atorvastatin,II,In vitro dissolution study of atorvastatin binary solid dispersion,PMC3645364,https://pmc.ncbi.nlm.nih.gov/articles/PMC3645364/,Y,Y,"pH-dependent; highest solubility pH6.8"
atorvastatin,II,Development and Validation of a Discriminative Dissolution Method for Atorvastatin Calcium Tablets,PMC3909171,https://pmc.ncbi.nlm.nih.gov/articles/PMC3909171/,Y,Y,"multiple pH media incl 1.2 and 6.8"
atorvastatin,II,Supersaturated Gel Formulation of Atorvastatin at 80 mg with Enhanced Solubility Dissolution and Stability,PMC11675580,https://pmc.ncbi.nlm.nih.gov/articles/PMC11675580/,Y,Y,"pH1.2 poor; pH6.8 highest solubility"
ketoconazole,II,Influence of Particle Size and Drug Load on Amorphous Solid Dispersions Containing pH-Dependent Soluble Polymers and the Weak Base Ketoconazole,PMC7803674,https://pmc.ncbi.nlm.nih.gov/articles/PMC7803674/,Y,Y,"pH-shift pH1 to 6.8; weak base"
ketoconazole,II,Aqueous solubility and dissolution rates of ketoconazole and its cocrystals as functions of pH,PMC8957230,https://pmc.ncbi.nlm.nih.gov/articles/PMC8957230/,Y,Y,"0.1N HCl/acetate4.5/phosphate6.8 solubility"
propranolol,I,Comparative Study of Propranolol HCl Release from Matrix Tablets with Kollidon SR or HPMC,PMC2976942,https://pmc.ncbi.nlm.nih.gov/articles/PMC2976942/,Y,Y,"SGF pH1.2 2h then SIF pH6.8"
propranolol,I,Release Behaviour of Propranolol HCl from Hydrophilic Matrix Tablets Containing Psyllium Powder,PMC3225531,https://pmc.ncbi.nlm.nih.gov/articles/PMC3225531/,Y,Y,"pH-dependent matrix release"
ranitidine,III,Formulation and characterization of sustained release dosage form of moisture sensitive drug (ranitidine),PMC4381392,https://pmc.ncbi.nlm.nih.gov/articles/PMC4381392/,Y,Y,"0.1N HCl pH1.2 2h then phosphate pH6.8 12h"
ranitidine,III,Ranitidine HCl-loaded Ethyl Cellulose and Eudragit RS 100 Buoyant Microspheres: Effect of pH Modifiers,PMC3480747,https://pmc.ncbi.nlm.nih.gov/articles/PMC3480747/,Y,?,"pH modifiers enhance release at pH1.2"
ranitidine,III,Floating tablets of HPMC and polyethylene oxide using ranitidine hydrochloride as a model drug,PMC3573371,https://pmc.ncbi.nlm.nih.gov/articles/PMC3573371/,Y,Y,"t50 at pH1.2/4.5/6.8/7.4"
furosemide,IV,In vitro release studies of furosemide reference tablets: influence of agitation rate USP apparatus and dissolution media,PMC8915589,https://pmc.ncbi.nlm.nih.gov/articles/PMC8915589/,Y,Y,"0.1M HCl/acetate4.5/phosphate6.8"
furosemide,IV,Liquisolid Systems to Improve the Dissolution of Furosemide,PMC3002790,https://pmc.ncbi.nlm.nih.gov/articles/PMC3002790/,Y,?,"acidic vs water dissolution"
furosemide,IV,Formulation of Furosemide Solid Dispersion with Microcrystalline Cellulose for Rapid Dissolution,PMC3255424,https://pmc.ncbi.nlm.nih.gov/articles/PMC3255424/,Y,Y,"weak acid pKa 3.8; pH-dependent"
hydrochlorothiazide,IV,Design and optimization of bilayered tablet of Hydrochlorothiazide using Quality-by-Design,PMC4083539,https://pmc.ncbi.nlm.nih.gov/articles/PMC4083539/,Y,Y,"SGF pH1.2 2h then phosphate pH6.8 10h"
hydrochlorothiazide,IV,Enhancement of dissolution rate of class II drugs (Hydrochlorothiazide): solid dispersion and liqui-solid,PMC4669426,https://pmc.ncbi.nlm.nih.gov/articles/PMC4669426/,Y,Y,"comparative dissolution"
hydrochlorothiazide,IV,Influence of swelling capacity of superdisintegrants in different pH media on dissolution of hydrochlorothiazide,PMC2750420,https://pmc.ncbi.nlm.nih.gov/articles/PMC2750420/,Y,Y,"pH range 1.2-7.5"
nitrofurantoin,IV,New Solid Forms of Nitrofurantoin and 4-Aminopyridine Salt: Crystal Packing and Physicochemical Properties,PMC9783863,https://pmc.ncbi.nlm.nih.gov/articles/PMC9783863/,Y,Y,"aqueous medium pH 1.2 to 6.8"
multi-drug,II/III/IV,Dissolution Profiles of Immediate Release Products of Various Drugs in Biorelevant Bicarbonate Buffer vs Compendial Phosphate Buffer,PMC11116250,https://pmc.ncbi.nlm.nih.gov/articles/PMC11116250/,Y,Y,"multiple drugs incl furosemide/ranitidine/piroxicam"
indomethacin,II,Amorphization Alone Does Not Account for Enhancement of Solubility of Indomethacin Co-ground with Silicate,PMC2976907,https://pmc.ncbi.nlm.nih.gov/articles/PMC2976907/,?,Y,"solubility enhancement"
glibenclamide,II,SMEDDS of Glyburide: Formulation In Vitro Evaluation and Stability Studies,PMC2690797,https://pmc.ncbi.nlm.nih.gov/articles/PMC2690797/,Y,?,"self-microemulsifying; dissolution"
ketoconazole,II,Image-Based Investigation: Biorelevant Solubility of alpha and gamma Indomethacin,PMC6727188,https://pmc.ncbi.nlm.nih.gov/articles/PMC6727188/,?,Y,"biorelevant solubility"
